,0
year,0
industry_code_ANZSIC,0
industry_name_ANZSIC,0
rme_size_grp,0
variable,0
value,0
unit,0
Unnamed: 7,21672
Unnamed: 8,21672
Unnamed: 9,0
Unnamed: 10,0
Unnamed: 11,0
Unnamed: 12,0
Unnamed: 13,0
Unnamed: 14,0
Unnamed: 15,0
